BFSNr	SiedlungNr	SiedlungName	qualifier	GebäudeAnz	WohnungenAnz	EinwAnz
12	12016	Ambühl		S	1	1	4
12	12017	Ausserfeld		S	2	2	5
12	12018	Hurterweid		S	1	2	6
12	12019	Moosweid		S	1	2	5
12	12020	Hinter-Allmend		S	1	1	2
12	12021	Allmend		S	3	4	10
12	12399	Personen ohne Siedlungs-Nr. 		R	0	0	10
13	13001	Stallikon (Dorf)		S	67	228	456
13	13002	Schwandenstrasse		S	1	1	1
13	13003	Sellenbüren (Dorf)	Quartiere	Q	504	607	1’572
13	13006	Station Uetliberg		S	3	1	2
13	13007	Uetliberg (Kulm)		S	1	0	6
13	13018	Folenweid		S	3	3	8
13	13020	Bleiki		S	12	13	28
13	13021	Mädikon		S	3	3	9
13	13022	Schleetal		S	1	1	1
13	13023	Aegerten		S	69	67	160
13	13024	Baldern		S	2	1	2
13	13025	Erli		S	2	2	6
13	13026	Schleetalbach		S	2	3	6
13	13027	Tiefenau		S	1	1	1
13	13029	Eichmatt		S	2	5	9
13	13030	Färberei		S	1	1	1
13	13032	Gamlikon		S	16	32	74
13	13033	Girstelweid		S	2	2	4
13	13034	Mittel-Gamlikon		S	2	6	15
13	13035	Nusshof		S	1	1	7
13	13036	Hell		S	1	2	7
13	13037	Grafschaft		S	6	6	10
13	13038	Aumüli		S	5	8	21
13	13039	Neuhaus		S	3	3	9
13	13040	Weidgang		S	1	1	2
13	13041	Mösli		S	3	2	5
13	13042	Hintere Buchenegg		S	13	13	43
13	13043	Tägerstrank		S	4	4	11
13	13044	Rebhölzli		S	2	2	5
13	13045	Tobel		S	4	4	7
13	13046	Im Fischer		S	3	2	5
13	13047	Tüelen		S	1	2	4
13	13048	Wolfenhof		S	2	4	13
13	13049	Hüsli		S	2	3	5
13	13051	Bol		S	2	2	4
13	13052	Tägerst		S	8	7	15
13	13053	Schulhaus Tägerst		S	2	1	6
13	13054	Sandacher		S	1	1	3
13	13055	Ryfen		S	2	2	5
13	13056	Vordere Buchenegg		S	6	3	12
13	13057	Müsli		S	2	2	7
13	13058	Bliggi		S	1	1	4
13	13059	Bodenacker		S	2	3	4
13	13061	Felsenegg		S	1	0	1
13	13062	Ausser-Gamlikon		S	1	1	2
13	13063	Egg		S	1	1	2
13	13064	Schanz		S	2	0	1
13	13399	Personen ohne Siedlungs-Nr. 		R	0	0	27
14	14001	Wettswil (Dorf)	Quartiere	Q	878	1’523	3’605
14	14007	Ettenberg		S	1	3	6
14	14008	Mättli		S	1	3	7
14	14009	Chrugelmatten		S	1	1	3
14	14010	Chriegmatten		S	2	2	5
14	14011	Moos		S	3	2	5
14	14012	Nächer Moos		S	1	1	3
14	14013	Hotzler		S	4	19	50
14	14014	Hofächer		S	1	1	1
14	14015	Eggächer		S	1	1	2
14	14016	Stationsquartier		S	7	31	66
14	14017	Grüt		S	2	2	7
14	14399	Personen ohne Siedlungs-Nr. 		R	0	0	24
21	21001	Adlikon (Dorf)		S	89	93	261
21	21002	Tüfenau		S	2	2	8
21	21003	Sonnenhof (bei Dätwil)		S	1	1	5
21	21004	Dätwil		S	32	33	82
21	21005	Kilchacker		S	1	1	5
21	21006	Bahnhüsli (bei Dätwil)		S	1	1	3
21	21007	Thurhof		S	1	1	3
21	21008	Rebhof		S	1	1	5
21	21009	Sonnenhof		S	1	1	7
21	21010	Föhrenhaus		S	1	2	2
21	21011	Bahnhüsli (bei Adlikon)		S	1	1	2
21	21012	Sonnenberg		S	2	2	5
21	21014	Loobuck		S	3	3	8
21	21015	Bachacker		S	1	2	6
21	21016	Steinacker		S	1	1	5
21	21017	Buck		S	2	2	8
21	21018	Niederwil		S	29	39	131
21	21019	Halde		S	1	2	5
21	21399	Personen ohne Siedlungs-Nr. 		R	0	0	36
22	22001	Benken (Dorf)		S	183	240	601
22	22002	Trügli		S	2	2	7
22	22003	Waldhof		S	1	2	7
22	22004	Morgenacker		S	1	2	8
22	22005	im Winkelacker		S	1	2	4
22	22006	im Hintergraben		S	2	2	9
22	22007	Harenberg-Guggeere-im Berg		S	25	23	50
22	22008	Ifang		S	1	1	3
22	22009	Robacker		S	1	1	4
22	22399	Personen ohne Siedlungs-Nr. 		R	0	0	11
23	23001	Berg (Dorf)		S	119	142	377
23	23002	Ebersberg		S	2	2	5
23	23003	Talacker		S	1	1	2
23	23004	Holzacker		S	1	1	3
23	23005	Langacker		S	1	1	3
23	23006	Eigenthal		S	5	5	13
23	23007	Bali		S	1	2	5
23	23008	Gräslikon		S	52	57	156
23	23009	Schwarzwies		S	1	1	2
23	23399	Personen ohne Siedlungs-Nr. 		R	0	0	7
24	24001	Ober-Buch		S	88	85	258
24	24002	Unter-Buch		S	55	62	172
24	24003	Wiler		S	30	38	95
24	24004	Bähl		S	1	1	5
24	24005	Dankbarkeit		S	1	2	7
24	24006	Baracke		S	1	1	2
24	24007	Sandwiesen		S	1	1	8
24	24008	Neugütli		S	2	1	2
24	24009	Aeschhalde		S	1	2	6
24	24010	Im Steinen		S	1	1	5
24	24011	Salenhof		S	1	1	2
24	24012	Erlenhof		S	2	2	7
24	24013	Schooss		S	1	3	5
24	24016	Rütiholz		S	1	1	4
24	24017	Im Feld		S	1	1	2
24	24018	Ober Hueb		S	3	2	5
24	24019	Desibach		S	7	8	30
24	24020	Bebikon		S	8	8	25
24	24399	Personen ohne Siedlungs-Nr. 		R	0	0	88
25	25001	Dachsen (Dorf)	Quartiere	Q	458	573	1’470
25	25008	Mettli		S	11	5	20
25	25009	Seewadel		S	1	1	1
25	25010	Riethof		S	1	2	5
25	25011	Meisterhof		S	1	1	5
25	25399	Personen ohne Siedlungs-Nr. 		R	0	0	32
26	26001	Dorf		S	160	197	529
26	26003	Lindenhof		S	1	2	6
26	26004	Irchelblick		S	1	1	3
26	26005	Gräbler		S	1	1	2
26	26006	Buck		S	1	1	5
26	26008	Hofmatt		S	1	1	2
26	26009	Goldenberg		S	2	2	10
26	26010	Chlätter		S	1	1	5
26	26011	Rütihof		S	1	3	9
26	26012	Lingg		S	1	1	2
26	26399	Personen ohne Siedlungs-Nr. 		R	0	0	20
27	27001	Feuerthalen (Dorf)		S	482	933	2’165
27	27002	Langwiesen		S	178	343	759
27	27399	Personen ohne Siedlungs-Nr. 		R	0	0	49		
28	28001	Flaach (Dorf)		S	272	335	943
28	28002	Ryhof		S	1	2	6
28	28003	Werdhof		S	1	2	6
28	28004	Waldhof		S	1	2	8
28	28005	Eichhof		S	1	1	2
28	28006	Unterwyden		S	2	2	6
28	28007	Buechenhof		S	1	1	3
28	28008	Wydhof		S	1	2	8
28	28009	Thurhof		S	1	1	5
28	28010	Boden		S	1	1	3
28	28011	Langenzüni		S	1	1	1
28	28012	Feldhof		S	1	1	2
28	28013	Neugrüt		S	1	1	3
28	28014	Engi		S	1	1	1
28	28015	Neugut		S	1	1	6
28	28016	Ziegelhütte		S	3	1	1
28	28017	Aue		S	1	1	4
28	28018	Grundhof		S	1	1	2
28	28019	Schollenberg		S	6	6	11
28	28020	Trotthof		S	1	1	3
28	28021	Wolfrain		S	1	1	3
28	28023	Amenloch		S	27	28	88
28	28024	Worrenberg		S	1	2	6
28	28025	Worrenberg		S	2	2	6
28	28026	Ebnet		S	1	1	8
28	28027	Oberfeld		S	1	2	7
28	28399	Personen ohne Siedlungs-Nr. 		R	0	0	22
29	29001	Flurlingen (Dorf)		S	325	511	1’221
29	29002	Schlatter		S	4	5	20
29	29399	Personen ohne Siedlungs-Nr. 		R	0	0	7
30	30001	Andelfingen (Dorf)		S	354	532	1’328
30	30002	Wehri		S	1	1	4
30	30003	Alterau		S	2	2	9
30	30004	Erlenhof		S	1	1	2
30	30005	Rütiteil		S	1	1	2
30	30006	Püntenhof		S	1	1	4
30	30007	Langacker		S	1	1	6
30	30009	Waldhof		S	1	1	2
30	30010	Stucki-Böndler		S	79	83	199
30	30012	Schauben		S	6	12	22
30	30013	Oerli		S	1	1	2
30	30014	Gugelment		S	1	2	2
30	30015	Neugut		S	4	4	11
30	30016	Werkhof		S	2	4	18
30	30017	Laufen		S	1	1	2
30	30018	Tännlihof		S	1	2	7
30	30399	Personen ohne Siedlungs-Nr. 		R	0	0	24
31	31001	Henggart (Dorf)		S	429	631	1’574
31	31003	Widen		S	2	4	8
31	31005	Grüt		S	3	4	7
31	31008	Schniderbuck		S	2	4	11
31	31009	Büel		S	2	2	3
31	31399	Personen ohne Siedlungs-Nr. 		R	0	0	18
32	32001	Humlikon (Dorf)		S	123	145	383
32	32002	Rüti		S	1	2	2
32	32003	Grünwald		S	2	3	11
32	32004	Kreuzstrasse		S	2	3	5
32	32399	Personen ohne Siedlungs-Nr. 		R	0	0	7
33	33001	Kleinandelfingen (Dorf)		S	257	424	1’094
33	33002	Oerlingen		S	118	141	380
33	33003	Sösiweg		S	1	2	8
33	33004	Saum		S	1	1	4
33	33005	Weierhof		S	2	2	5
33	33006	Buck		S	1	1	4
33	33007	Waldegg		S	1	1	3
33	33008	Alten		S	84	87	244
33	33009	Tempel		S	3	3	12
33	33010	Wespersbühl		S	6	5	11
33	33012	Bühlhof		S	1	2	5
33	33013	Buchenäcker		S	1	1	6
33	33017	Schneitenberg		S	1	1	3
33	33018	Grosssee		S	2	1	5
33	33019	Burkhartensee		S	1	1	4
33	33020	Bahnhüsli		S	1	1	2
33	33021	Rütenen		S	1	1	1
33	33399	Personen ohne Siedlungs-Nr. 		R	0	0	30
34	34001	Uhwiesen (Dorf)	Quartiere	Q	361	473	1’140
34	34008	Nohl		S	34	55	124
34	34009	Laufen (Dorf)		S	6	3	19
34	34010	Mülibach		S	1	2	7
34	34011	Anderbach		S	1	1	2
34	34012	Sunnehof		S	2	2	7
34	34014	Steinerberg		S	6	6	17
34	34015	Brand		S	2	3	8
34	34017	Grüt		S	3	3	8
34	34018	Schlossfeld		S	1	1	4
34	34019	Wiswendi		S	1	1	4
34	34399	Personen ohne Siedlungs-Nr. 		R	0	0	29
35	35001	Marthalen (Dorf)	Quartiere	Q	381	596	1’567
35	35007	Ellikon a.Rh.		S	27	32	78
35	35008	Radhof		S	3	3	10
35	35009	Berg		S	2	3	9
35	35010	Nägeli		S	2	2	6
35	35012	Isebuck		S	2	3	9
35	35013	Kleiment		S	2	2	6
35	35014	Schwerzi		S	1	2	6
35	35015	Brunnehof		S	1	1	5
35	35016	Sunnehof		S	1	2	8
35	35017	Nidermartel		S	4	4	10
35	35018	Laubere		S	1	1	3
35	35019	Ifang		S	1	1	5
35	35020	Seegrabe		S	2	2	5
35	35021	Seefeld		S	2	2	9
35	35022	Abischthof		S	2	2	4
35	35023	Mühliwis		S	2	3	5
35	35024	Mötsche		S	1	1	4
35	35025	Grundhof		S	1	1	4
35	35026	Türni		S	1	1	3
35	35027	Madacker		S	1	1	3
35	35028	Hauebüel		S	2	2	7
35	35399	Personen ohne Siedlungs-Nr. 		R	0	0	37		
36	36001	Oberstammheim (Dorf)		S	261	319	863
36	36002	Säleten		S	2	2	6
36	36003	Bahnhüsli		S	1	1	4
36	36006	Talmühle		S	3	3	11
36	36007	St.Annahof		S	1	2	6
36	36008	Alte St.Anna		S	1	2	4
36	36009	Oelenberg		S	1	2	5
36	36010	St.Anna		S	1	1	2
36	36011	Wangenbühl		S	1	1	2
36	36012	Pöschen		S	1	1	4
36	36013	Raffolterhof		S	1	1	5
36	36014	Hardhof		S	2	2	6
36	36015	Lärchenhof		S	1	1	2
36	36016	Fürstgrüt		S	1	2	3
36	36017	Breitacker		S	1	1	4
36	36018	Seehof/Seehalde		S	4	4	8
36	36019	Lindenhof		S	2	2	9
36	36020	Erlenhof		S	2	2	6
36	36021	Felderen		S	3	5	12
36	36022	Felderhof		S	2	2	4
36	36023	Stegacker		S	1	1	3
36	36024	Wilen		S	14	16	52
36	36026	Neuhof (bei Wilen)		S	2	3	7
36	36028	Moos		S	2	3	14
36	36029	Gässli		S	1	2	5
36	36399	Personen ohne Siedlungs-Nr. 		R	0	0	17
37	37001	Ossingen (Dorf)		S	276	378	959
37	37002	Dachsenhausen		S	1	2	5
37	37003	Langenmoos		S	8	8	22
37	37004	Berghof		S	2	2	4
37	37005	Goldbuck		S	2	2	6
37	37006	Riethalde		S	2	2	6
37	37007	Kastelhof		S	1	1	8
37	37008	Rosenhof		S	1	2	6
37	37009	Gisenhard		S	13	14	41
37	37010	Grundhof		S	1	1	5
37	37011	Wilhof		S	1	1	2
37	37012	Tannenhof		S	1	2	7
37	37013	Harstig		S	1	1	2
37	37014	Uf Wil		S	1	1	2
37	37015	Im Heidi		S	1	1	7
37	37017	Berg		S	3	4	7
37	37018	Im Schlatter		S	1	1	5
37	37019	Eschi		S	1	2	6
37	37020	Löberen		S	13	13	32
37	37022	Rebhof		S	1	2	7
37	37023	Werdhof		S	3	3	12
37	37024	Thurhof		S	1	1	2
37	37025	Unter-Hausen		S	1	1	2
37	37026	Hausen		S	9	9	31
37	37027	Widen		S	3	1	5
37	37028	Im Stieg		S	3	3	5
37	37029	Guggenbühl		S	1	1	3
37	37030	Thurbrücke		S	1	1	2
37	37031	Egli		S	2	2	4
37	37032	Ziegelhütte		S	1	2	6
37	37033	Burghof		S	8	8	25
37	37034	im Lochacker		S	1	1	3
37	37399	Personen ohne Siedlungs-Nr. 		R	0	0	33
38	38001	Unterdorf		S	123	192	439
38	38002	Oberdorf		S	103	198	477
38	38003	Alt-Rheinau		S	4	7	46
38	38006	Neu-Rheinau		S	156	148	562
38	38399	Personen ohne Siedlungs-Nr. 		R	0	0	121
39	39001	Thalheim (Dorf)		S	112	123	322
39	39002	Weidler		S	1	2	7
39	39003	Weyerhölzli		S	1	1	2
39	39004	Gütighausen		S	55	98	232
39	39005	Bilg		S	1	2	6
39	39006	Asperhof		S	1	1	4
39	39007	Hauenrain		S	1	1	3
39	39008	Grüt		S	1	1	1
39	39009	Geeren		S	2	2	6
39	39010	Tannenhof		S	2	3	7
39	39011	Guggenbühl		S	1	1	2
39	39012	Püntenrain		S	1	2	4
39	39014	Sonnenhof		S	1	1	2
39	39015	Station		S	3	5	6
39	39016	Loo		S	1	1	4
39	39017	Schleipfi		S	2	2	4
39	39399	Personen ohne Siedlungs-Nr. 		R	0	0	25		
40	40001	Trüllikon (Dorf)		S	171	227	572
40	40002	Rudolfingen		S	73	82	222
40	40003	Wildensbuch		S	35	39	96
40	40005	Neuen		S	2	2	5
40	40006	Bergli		S	1	1	2
40	40008	Hebsack		S	1	1	3
40	40009	Grüthof		S	1	1	2
40	40010	Guetli		S	2	4	8
40	40011	Mattenhof		S	1	1	2
40	40012	Chrüzli		S	1	1	1
