Bleigenst[orfer]	1701	Blickensdorf, Baar
Bleigenst[orfers]	1701	
Bleigenst[orfs]	1701	
Bleigenstorfer		
Bleigenstorferen		
Bleigenstorferin		
Bleigenstorfers		
Bleigenstorffer	1701	
Bleigenstorfferen		
Bleigenstorffers		
Bleigenstorfs	1701	
Bleigenstorpfer	1701	
Bleigestorfferen		
Bleike	13020	Bleiki, ev. 82004
Bleuler		
Bleüler		
Bleulerischen		
Bleulers		
Bleülers		
Bleüwler		
Bleüwlers		
Bleyen		
Bleyin		
Blib		
Blickenstorffer		
Blickenstorfferin		
Blickenstorffers	1701	ev.
Blicketschwyl	1701	ev.
Bligenstorfer		
Bligenstorferen		
Bligenstorferi		
Bligenstorferin		
Bligenstorff[eri]		
Bligenstorffer		
Bligenstorfferi		
Bligestorffer		
Bliggenstorfer		
Bliggenstorfers		
Bligistorffers		
Blikenstorffers		
Blöchlinger		
Blöchlingeren		
Blöchlingers		
Bloüeren		
Blüemleins		
Blüemli		
Blüemlin		
Blumin		
Blümli		
Blüni		
Blünin		
Blünis		
Blüomli		
Blüwler		
Blybt		
Blyckenstorffer	1701	
Blygenstorff	1701	
Blygenstorffers		
Blygestorffer		
Blygestorffers		
Blygistorffer		
Blygistorffern		
Blygistorffers		
Blykenstorfferen		
Bod[mers]		
Bodmer		
Bodmer]		
Bodmeren		
Bodmerin		
Bodmers		
Bohl		
Bol		
Bol-Buben		
Bolbuben		
Böli		
Bolis		
Boll		
Bollen		
Boller		
Bolleri		
Bollers		
Bollinger		
Boltz		
Bolz		
Bolzen		
Bolzische		
Bon		
Böndler		
Bonnstädten	3	
Bonnstädter		
Bonnstätten	3	
Bonnstetten	3	
Bonst[etten]	3	
Bonstädten	3	
Bonsteten	3	
Bonstëten	3	
Bonsteter		
Bonstetten	3	
Bonstetter		
Bonstetteren		
Boonst[etten]	3	
Boonstetten	3	
Boonstetteren		
Bortli		
Bösch		
Bosh[art]		
Boshard		
Boshart		
Bosharten		
Bossh[ard]		
Boßh[art]		
Bossh[art]		
Bossh[arten]		
Boßhard		
Boßhart		
Boßart		
Boßart		
Boßarten		
Boßartin		
Boßert		
Boßharten		
Boßhartin		
Boßharts		
Boswyl	4228	
Bottenweil	4273	Bottenwil
Boügerin		
Boügger		
Boüggerin		
Boüggers		
Braach		
Braachmonat		
Braachmonath		
Brachet		
Brændlini		
Brägker		
Braheten		
Brämgarten	4063	
Brand-steür		
Brand[enberger]		
Brandenberger		
Brandenbergers		
Brandenbergs		
Brandenburg	*	
Brandenburgisch		
Brandenburgische		
Brandgeschädigte		
Brändli		
Brandlin		
Brändlin		
Brändlinen		
Brandsthür		
Brandstühr		
Brändts		
Brängarten	4063	
Bränner		
Bränneren		
Brännerhanß		
Brännerhansen		
Bränneri		
Bränners		
Bränngarten	4063	
Brantisen		
Bränts-		
Brätten		
Brauslers		
Brei[tingerus]		
Breisgöüw	*	Preisgau
Breiten		
Breiten-Matt	111066	
Breitenhansen		
Breitenmatt	111066	
Breithansen		
Breitinger		
Breitingeren		
Breitingers		
Breitingerus		
Breitten		
Breitti	115080	
Brëmen	*	
Bremg[arten]	4063	
Bremgarten	4063	
Bremgarter		
Bremgartner		
Bremgartnerinn		
Brendli		
Brëndli		
Brendlin		
Brendlins		
Brëngarter		
Brënndli		
Brennerhansen		
Brënngarter		
Brënnwald		
Brennwalden		
Brennwaldin		
Brennwaldinnen		
Bretter		
Bretters		
Bring		
Brodt-Uli		
Brodwäger		
Brög		
Brogen		
Brögen		
Broseli		
Broselins		
Brosen		
Brosi		
Brosin		
Brosis		
Broßi		
Brotschimmlin		
Bröttlin		
Broüß		
Bröüß		
Broüßen		
Broüßin		
Bruder-Albis		
Bruderkilbi		
Brüger		
Bruggbacheri		
Bruggbacherin		
Bruggeri		
Brugpacher		
Brugpacheri		
Brun		
Brüncken		
Brünckers		
Brunen		
Bruner		
Bruners		
Brüngen		
Brünger		
Brüngeri		
Brüngerin		
Brüngers		
Brünggen		
Brüngger		
Brünggeren		
Brünggers		
Brunnenbaur		
Brunnenbauren		
Brunner		
Brunneren		
Brunnerin		
Brunners		
Brunnysen		
Brunschwyler		
Brunst-steür		
Brunysen		
Brütten	213	
Brüwylerin		
Bryner		
Bryneren		
Bryners		
Brysgöüw	*	Preisgau
Bryßgoüw	*	Preisgau
Bubickheim	112001	ev.
Bubicon	112001	
Bubiconensi	112001	
Bubiken	112001	
Bubikon	112001	
Bubikoner		
Büblins		
Büblis		
Buchberg	2933	
Buchen[egk]	2933	
Buchenegck	2933	
Buchenegg	2933	
Buchenegk	2933	
Buchenek	2933	
Bucher		
Buchers		
Buchhalden	172013	
Buchholtz	196029	
Buchholz	196029	
Büchi		
Büchin		
Büchler		
Buchli		
Buchm[an]		
Buchman		
Buchmanin		
Buchmanischen		
Buchmann		
Buchmannen		
Buchmannin		
Buchmanns		
Buchmans		
Buchß		
Buchters		
Buckfelix		
Buckfelixen		
Budis		
Buebiken	112	
Buebikhen	112	
Buebikon	112	
Buebs		
Buechholtz	196029	
Büechler		
Büechleri		
Büechlers		
Buechm[an]		
Buechman		
Büehler		
Büel		
Büeler		
Büeleren		
Büelerischen		
Büelers		
Büggeli		
Bühel		
Buheri		
Buhl		
Bühl	112049	
Bühler		
Bühlern		
Buhman		
Buhr		
Buk		
Bukpaur		
Bül		
Bülach	53	
Bülacher		
Büler		
Büleren		
Bülerin		
Bulers		
Bülers		
Büli		
Büller		
Bulod		
Buloden		
Bulodt		
Buloths		
Bum[an]		
Buman		
Bumann		
Bumannin		
Bumanns		
Bumans		
Bumen		
Bungarten		
Büntzli		
Bünzli		
Bünzlis		
Buob		
Buochholtz	196029	
Buochhöltzler		
Buochman		
Buochmans		
Bur		
Bürbel		
Burchhard		
Burcket		
Burcketen		
Burckh[ard]		
Burckh[art]		
Burckhardt		
Burckhart		
Burckharten		
Bürcki		
Bürckli		
Büren		
Burenen		
Bureni		
Burge		
Bürge		
Bürgenen		
Burghalten		
Bürgi		
Bürgin		
Bürgis		
Bürgißeren		
Bürgißin		
Burgkard		
Burgkhard		
Bürglen		
Buri		
Burin		
Bürin		
Burinen		
Buris		
Burkh[ard]		
Burkh[art]		
Burkh[arten]		
Burkhard		
Burkhart		
Burkharten		
Burkhartischen		
Bürkli		
Bürkliß		
Bürli		
Bürlin		
Burren		
Burri		
Busenthal	111011	
Bußenhausen	177	
Bussenh[ausen]	177	
Bussenh[ausen]	177	
Bußenh[ausen]	177	
Bussenh[usen]	177	
Bussenhausen	177	
Bußenhusen	177	
Bußwirdig		
Büßt		
Buttenau	131	
Buz		
Buzen		
Bygel		
Bynebend		
Bysitzer		
Bysyts		
C[a]l[endis]		
C[aspar]		
Cahtarina		
Cahtrina		
Cal[endis]		
Cambli		
Camblis		
Cantzley		
Capar		
Capaul		
Capel		
Capelers		
Capell		
Cappel		
Cappeler		
Cappelers		
Carli		
Casp[a]r		
Casp[ar]		
Caspar		
Casparli		
Casparo		
Caspars		
Casper		
Casperli		
Caßpar		
Cäsperli		
Cäsperlis		
Caspers		
Catalogus		
Catarina		
Catechisation-ordnung		
Caterine		
Catharin		
Catharina		
Cather[in]		
Catherin		
Catherine		
Catherinen		
Cathr[y]		
Cathri		
Cathrina		
Cathrineli		
Cathrinen		
Cathrinenmerkt		
Cathrinli		
Cathry		
Cathryn		
Cathryna		
Catri		
Catrina		
Catrineli		
Catrini		
Catrinli		
Catry		
Cattarina		
Chaffre		
Chämaaß		
Chämos		
Chämoß		
Chlephe		
Chöllen		
Chölli		
Chr[isten]		
Christen		
Christens		
Christes		
Christi		
Christian		
Christin		
Christina		
Christingerin		
Christmohnat		
Christmonnat		
Christo		
Christoffel		
Christoffell		
Christoph		
Christophel		
Christophori		
Christophoro		
Christophorum		
Christophorus		
Christum		
Christus		
Chulm		
Chunin		
Chur	3901	
Chur-Pfaltz	3901	ev. Churwalden 3911
Churer		
Churpfaltz	3901	
Claus		
Clausen		
Clausen-Jageli		
Clausli		
Cläusli		
Clauß		
Claußen		
Cleinfüg		
Cleinfügen		
Cleingret		
Clementz		
Clementzen		
Cleophe		
Cleopheæ		
Cleophen		
Clephe		
Clepheli		
Clephen		
Cleve		
Cley		
Clihans		
Clihansen		
Cliheirichen		
Clot		
Clotemer		
Cloter		
Clotten	62	Kloten
Cly		
Clybabeli		
Clyhans		
Clyhansen		
Cnonauw	7	Knonau
Combe		
Commendatoria		
Commoditates		
Componierte		
Conf[er]		
Confer		
Conr[ad]		
Conrad		
Conraden		
Conradin		
